begin,open,high,low,close,volume
2024-08-05 11:40:00,129.86,129.87,129.01,129.09,1250710.0
2024-08-05 11:50:00,129.09,129.2,128.25,128.4,3511160.0
2024-08-05 12:00:00,128.45,128.87,127.78,127.91,3391230.0
2024-08-05 12:10:00,127.92,128.15,127.6,128.02,2039770.0
2024-08-05 12:20:00,128.02,128.73,128.01,128.45,1743220.0
2024-08-05 12:30:00,128.45,128.75,128.4,128.4,740610.0
2024-08-05 12:40:00,128.4,128.7,128.4,128.45,726200.0
2024-08-05 12:50:00,128.45,128.63,128.4,128.59,452630.0
2024-08-05 13:00:00,128.59,128.67,127.8,127.85,1426110.0
2024-08-05 13:10:00,127.86,128.15,127.74,127.99,685560.0
2024-08-05 13:20:00,128.0,128.0,127.82,127.95,344120.0
2024-08-05 13:30:00,127.95,128.31,127.9,128.1,1332540.0
2024-08-05 13:40:00,128.11,128.57,128.1,128.53,974070.0
2024-08-05 13:50:00,128.52,129.15,128.52,128.63,1450310.0
2024-08-05 14:00:00,128.63,129.0,128.39,128.55,681530.0
2024-08-05 14:10:00,128.55,128.93,128.51,128.67,584810.0
2024-08-05 14:20:00,128.66,128.77,128.5,128.5,519610.0
2024-08-05 14:30:00,128.5,128.5,128.1,128.14,760090.0
2024-08-05 14:40:00,128.14,128.29,127.48,127.9,1721960.0
2024-08-05 14:50:00,127.92,128.08,127.82,127.85,354310.0
2024-08-05 15:00:00,127.85,128.12,127.78,128.1,530560.0
2024-08-05 15:10:00,128.1,128.1,127.6,127.8,623090.0
2024-08-05 15:20:00,127.79,127.79,127.26,127.32,1726840.0
2024-08-05 15:30:00,127.33,127.35,127.01,127.07,945440.0
2024-08-05 15:40:00,127.08,127.38,127.0,127.36,1615230.0
2024-08-05 15:50:00,127.35,127.58,127.2,127.27,683540.0
2024-08-05 16:00:00,127.27,127.99,127.21,127.73,1250450.0
2024-08-05 16:10:00,127.74,128.13,127.71,128.12,1189360.0
2024-08-05 16:20:00,128.13,128.22,127.67,127.79,610200.0
2024-08-05 16:30:00,127.77,128.12,127.53,127.77,608100.0
2024-08-05 16:40:00,127.78,127.95,127.42,127.75,570780.0
2024-08-05 16:50:00,127.77,128.0,127.58,127.89,591330.0
2024-08-05 17:00:00,127.9,128.09,127.77,127.95,655190.0
2024-08-05 17:10:00,127.95,128.1,127.95,128.0,192020.0
2024-08-05 17:20:00,127.98,127.98,127.83,127.92,148460.0
2024-08-05 17:30:00,127.92,128.22,127.85,127.92,509490.0
2024-08-05 17:40:00,127.93,128.01,127.83,127.84,147790.0
2024-08-05 17:50:00,127.85,128.09,127.52,128.01,597470.0
2024-08-05 18:00:00,128.0,128.36,128.0,128.24,660830.0
2024-08-05 18:10:00,128.24,128.28,128.03,128.06,454850.0
2024-08-05 18:20:00,128.05,128.19,127.95,127.95,578470.0
2024-08-05 18:30:00,127.95,128.09,127.68,127.78,522290.0
2024-08-05 18:40:00,127.85,127.85,127.85,127.85,112240.0
2024-08-05 19:00:00,127.85,127.98,127.7,127.98,160810.0
2024-08-05 19:10:00,127.98,127.98,127.86,127.93,154440.0
2024-08-05 19:20:00,127.93,128.08,127.93,127.96,150890.0
2024-08-05 19:30:00,127.97,128.3,127.95,128.28,346270.0
2024-08-05 19:40:00,128.27,128.34,128.0,128.08,374370.0
2024-08-05 19:50:00,128.1,128.19,128.01,128.09,110320.0
2024-08-05 20:00:00,128.09,128.1,127.75,127.97,222440.0
2024-08-05 20:10:00,127.96,128.21,127.94,128.2,96940.0
2024-08-05 20:20:00,128.21,128.25,128.11,128.22,167190.0
2024-08-05 20:30:00,128.21,128.27,128.06,128.07,118770.0
2024-08-05 20:40:00,128.07,128.08,127.95,128.0,157750.0
2024-08-05 20:50:00,128.0,128.13,127.97,128.13,71190.0
2024-08-05 21:00:00,128.13,128.13,127.84,127.92,310580.0
2024-08-05 21:10:00,127.93,127.93,127.58,127.7,253360.0
2024-08-05 21:20:00,127.7,127.8,127.56,127.66,162680.0
2024-08-05 21:30:00,127.66,127.68,127.44,127.62,331700.0
2024-08-05 21:40:00,127.63,127.71,127.42,127.45,158250.0
2024-08-05 21:50:00,127.46,127.48,127.25,127.25,281240.0
2024-08-05 22:00:00,127.29,127.64,127.2,127.63,399240.0
2024-08-05 22:10:00,127.62,127.68,127.51,127.6,100710.0
2024-08-05 22:20:00,127.6,127.61,127.42,127.5,141460.0
2024-08-05 22:30:00,127.49,127.75,127.45,127.73,184670.0
2024-08-05 22:40:00,127.72,127.73,127.62,127.71,28310.0
2024-08-05 22:50:00,127.7,127.75,127.59,127.59,106280.0
2024-08-05 23:00:00,127.59,127.6,127.48,127.53,73930.0
2024-08-05 23:10:00,127.54,127.65,127.41,127.45,83940.0
2024-08-05 23:20:00,127.44,127.52,127.32,127.41,194960.0
2024-08-05 23:30:00,127.42,127.51,127.29,127.35,220650.0
2024-08-05 23:40:00,127.35,127.5,127.25,127.25,232540.0
2024-08-06 09:50:00,128.39,128.39,128.39,128.39,91460.0
2024-08-06 10:00:00,128.39,129.26,128.23,129.21,3720730.0
2024-08-06 10:10:00,129.21,129.25,128.6,129.04,1490470.0
2024-08-06 10:20:00,129.05,129.4,128.91,129.16,1402400.0
2024-08-06 10:30:00,129.17,129.27,128.85,129.21,858460.0
2024-08-06 10:40:00,129.21,129.25,129.0,129.19,469430.0
2024-08-06 10:50:00,129.2,129.49,129.11,129.47,809530.0
2024-08-06 11:00:00,129.47,129.6,129.21,129.37,895730.0
2024-08-06 11:10:00,129.37,129.39,129.2,129.37,454020.0
2024-08-06 11:20:00,129.37,129.39,129.12,129.12,317840.0
2024-08-06 11:30:00,129.12,129.13,128.8,128.8,899940.0
2024-08-06 11:40:00,128.8,128.96,128.52,128.8,1063310.0
2024-08-06 11:50:00,128.8,128.9,128.52,128.52,421150.0
2024-08-06 12:00:00,128.53,128.9,128.53,128.9,343330.0
2024-08-06 12:10:00,128.9,129.2,128.82,128.92,690750.0
2024-08-06 12:20:00,128.92,128.97,128.67,128.67,154050.0
2024-08-06 12:30:00,128.72,128.86,128.6,128.62,321560.0
2024-08-06 12:40:00,128.61,128.77,128.4,128.61,622320.0
2024-08-06 12:50:00,128.61,128.96,128.59,128.84,442290.0
2024-08-06 13:00:00,128.84,128.84,128.67,128.72,188630.0
2024-08-06 13:10:00,128.74,129.11,128.71,129.07,412850.0
2024-08-06 13:20:00,129.08,129.1,128.83,128.84,191230.0
2024-08-06 13:30:00,128.85,129.16,128.77,129.15,273440.0
2024-08-06 13:40:00,129.15,129.3,128.95,129.3,540320.0
2024-08-06 13:50:00,129.3,129.4,129.06,129.08,477920.0
2024-08-06 14:00:00,129.08,129.22,128.94,129.09,418630.0
2024-08-06 14:10:00,129.09,129.47,129.09,129.27,545110.0
2024-08-06 14:20:00,129.27,129.33,129.22,129.27,138390.0
2024-08-06 14:30:00,129.25,129.35,128.9,128.97,635820.0
2024-08-06 14:40:00,128.97,129.16,128.83,129.09,227600.0
2024-08-06 14:50:00,129.09,129.09,128.76,128.85,335950.0
2024-08-06 15:00:00,128.83,128.85,128.51,128.73,648370.0
2024-08-06 15:10:00,128.72,128.98,128.18,128.22,1034390.0
2024-08-06 15:20:00,128.23,128.3,128.16,128.22,606600.0
2024-08-06 15:30:00,128.23,128.44,128.19,128.29,766210.0
2024-08-06 15:40:00,128.28,128.44,128.22,128.27,299280.0
2024-08-06 15:50:00,128.27,128.27,127.8,127.95,909990.0
2024-08-06 16:00:00,127.94,128.02,127.84,127.98,524040.0
2024-08-06 16:10:00,127.98,128.22,127.75,127.98,733030.0
2024-08-06 16:20:00,127.95,127.95,127.7,127.83,618880.0
2024-08-06 16:30:00,127.84,127.84,127.37,127.74,1117540.0
2024-08-06 16:40:00,127.73,127.73,127.34,127.6,829130.0
2024-08-06 16:50:00,127.63,127.96,127.6,127.84,495420.0
2024-08-06 17:00:00,127.83,128.4,127.75,128.31,1373880.0
2024-08-06 17:10:00,128.31,128.48,128.06,128.06,623950.0
2024-08-06 17:20:00,128.06,128.5,127.87,128.26,586880.0
2024-08-06 17:30:00,128.27,128.45,127.93,128.32,444370.0
2024-08-06 17:40:00,128.3,128.35,128.16,128.29,108050.0
2024-08-06 17:50:00,128.29,128.3,128.03,128.11,252730.0
2024-08-06 18:00:00,128.1,128.3,128.0,128.28,514180.0
2024-08-06 18:10:00,128.28,128.43,128.18,128.3,330790.0
2024-08-06 18:20:00,128.29,128.62,128.19,128.42,854070.0
2024-08-06 18:30:00,128.44,128.62,128.37,128.51,711070.0
2024-08-06 18:40:00,128.41,128.41,128.41,128.41,111200.0
2024-08-06 19:00:00,128.5,128.75,128.49,128.72,265510.0
2024-08-06 19:10:00,128.71,128.83,128.51,128.66,228970.0
2024-08-06 19:20:00,128.67,128.75,128.57,128.61,72680.0
2024-08-06 19:30:00,128.61,128.71,128.51,128.63,88500.0
2024-08-06 19:40:00,128.61,128.7,128.49,128.5,72310.0
2024-08-06 19:50:00,128.49,128.61,128.46,128.57,41360.0
2024-08-06 20:00:00,128.57,128.65,128.5,128.5,42300.0
2024-08-06 20:10:00,128.51,128.56,128.5,128.56,27690.0
2024-08-06 20:20:00,128.56,128.62,128.5,128.56,64190.0
2024-08-06 20:30:00,128.56,128.6,128.5,128.53,37840.0
2024-08-06 20:40:00,128.57,128.61,128.53,128.61,15510.0
2024-08-06 20:50:00,128.58,128.63,128.52,128.63,20690.0
2024-08-06 21:00:00,128.62,128.69,128.54,128.55,69790.0
2024-08-06 21:10:00,128.55,128.66,128.53,128.56,28630.0
2024-08-06 21:20:00,128.56,129.0,128.55,128.75,475440.0
2024-08-06 21:30:00,128.74,128.8,128.7,128.76,66730.0
2024-08-06 21:40:00,128.75,128.95,128.69,128.89,140180.0
2024-08-06 21:50:00,128.89,129.06,128.86,129.0,181520.0
2024-08-06 22:00:00,129.0,129.01,128.64,128.69,150900.0
2024-08-06 22:10:00,128.69,128.73,128.58,128.62,66030.0
2024-08-06 22:20:00,128.62,128.81,128.57,128.75,78690.0
2024-08-06 22:30:00,128.76,128.76,128.6,128.64,66410.0
2024-08-06 22:40:00,128.64,128.69,128.62,128.63,78230.0
2024-08-06 22:50:00,128.64,128.71,128.58,128.7,48050.0
2024-08-06 23:00:00,128.69,128.7,128.6,128.68,63740.0
2024-08-06 23:10:00,128.68,128.68,128.61,128.61,58890.0
2024-08-06 23:20:00,128.63,128.81,128.6,128.77,88980.0
2024-08-06 23:30:00,128.77,128.8,128.66,128.7,77070.0
2024-08-06 23:40:00,128.7,128.71,128.6,128.7,111620.0
2024-08-07 09:50:00,128.87,128.87,128.87,128.87,34070.0
2024-08-07 10:00:00,128.88,129.4,128.81,128.81,1806860.0
2024-08-07 10:10:00,128.81,128.99,128.54,128.92,916760.0
2024-08-07 10:20:00,128.92,128.95,128.61,128.68,854620.0
2024-08-07 10:30:00,128.67,128.99,128.51,128.7,502550.0
2024-08-07 10:40:00,128.68,128.72,128.35,128.36,899060.0
2024-08-07 10:50:00,128.35,128.72,128.3,128.63,773510.0
2024-08-07 11:00:00,128.64,128.64,127.87,127.97,1099290.0
2024-08-07 11:10:00,127.97,128.0,127.62,127.9,758640.0
2024-08-07 11:20:00,127.9,127.9,127.01,127.46,3105540.0
2024-08-07 11:30:00,127.46,127.46,126.6,127.24,3297840.0
2024-08-07 11:40:00,127.26,127.38,127.01,127.22,888070.0
2024-08-07 11:50:00,127.22,127.39,126.84,127.27,834640.0
2024-08-07 12:00:00,127.26,127.35,126.7,126.7,953070.0
2024-08-07 12:10:00,126.7,126.8,126.18,126.74,2865970.0
2024-08-07 12:20:00,126.71,126.86,126.48,126.72,645260.0
2024-08-07 12:30:00,126.72,127.24,126.71,127.14,1669430.0
2024-08-07 12:40:00,127.14,127.75,127.11,127.6,1384620.0
2024-08-07 12:50:00,127.6,127.62,127.03,127.6,1004720.0
2024-08-07 13:00:00,127.6,128.12,127.59,127.7,2009330.0
2024-08-07 13:10:00,127.7,128.04,127.5,127.93,851370.0
2024-08-07 13:20:00,127.93,128.06,127.64,127.64,441230.0
2024-08-07 13:30:00,127.64,127.96,127.35,127.45,550330.0
2024-08-07 13:40:00,127.45,127.5,127.02,127.34,605890.0
2024-08-07 13:50:00,127.34,127.6,127.03,127.21,550230.0
2024-08-07 14:00:00,127.2,127.68,127.17,127.66,338480.0
2024-08-07 14:10:00,127.65,127.8,127.31,127.43,452030.0
2024-08-07 14:20:00,127.43,127.66,127.3,127.42,280270.0
2024-08-07 14:30:00,127.41,127.96,127.33,127.81,871770.0
2024-08-07 14:40:00,127.82,127.89,127.62,127.73,195860.0
2024-08-07 14:50:00,127.73,127.86,127.53,127.86,209880.0
2024-08-07 15:00:00,127.88,128.51,127.88,128.13,1856110.0
2024-08-07 15:10:00,128.12,128.48,128.12,128.42,676450.0
2024-08-07 15:20:00,128.44,128.56,128.09,128.11,911200.0
2024-08-07 15:30:00,128.18,128.22,127.87,128.04,663290.0
2024-08-07 15:40:00,128.04,128.14,127.67,128.11,632620.0
2024-08-07 15:50:00,128.11,128.5,128.06,128.09,1128750.0
2024-08-07 16:00:00,128.1,128.46,127.89,127.9,873360.0
2024-08-07 16:10:00,127.89,128.49,127.88,128.43,845970.0
2024-08-07 16:20:00,128.44,128.45,127.86,128.07,624150.0
2024-08-07 16:30:00,128.08,128.22,127.97,128.01,374080.0
2024-08-07 16:40:00,128.02,128.09,127.8,127.94,460350.0
2024-08-07 16:50:00,127.95,128.22,127.94,128.04,295500.0
2024-08-07 17:00:00,128.04,128.66,128.04,128.62,952530.0
2024-08-07 17:10:00,128.61,128.9,128.6,128.75,1279680.0
2024-08-07 17:20:00,128.76,128.86,128.65,128.75,626350.0
2024-08-07 17:30:00,128.73,128.86,128.64,128.71,380690.0
2024-08-07 17:40:00,128.68,129.19,128.54,129.1,1245590.0
2024-08-07 17:50:00,129.1,130.33,129.06,130.06,4711840.0
2024-08-07 18:00:00,130.07,130.33,129.92,130.05,1805750.0
2024-08-07 18:10:00,130.05,130.05,129.72,129.73,881590.0
2024-08-07 18:20:00,129.72,130.18,129.56,130.01,1478580.0
2024-08-07 18:30:00,130.0,130.17,129.83,130.07,586160.0
2024-08-07 18:40:00,130.07,130.07,130.07,130.07,78770.0
2024-08-07 19:00:00,130.0,130.26,130.0,130.1,305710.0
2024-08-07 19:10:00,130.08,130.34,130.04,130.18,394740.0
2024-08-07 19:20:00,130.18,130.18,129.74,129.94,447130.0
